city,dish_name,category,description
Bengaluru,Masala Dosa,veg,"Crispy rice dosa with spiced potato filling; classic Bengaluru breakfast."
Bengaluru,Idli Vada with Sambar,veg,"Soft idlis and crispy vadas served with sambar and chutney; common in darshinis."
Bengaluru,Bisi Bele Bath,veg,"Rice-lentil dish cooked with vegetables and special spice mix."
Bengaluru,Maddur Vada,veg,"Crispy onion flat vadas, popular as a snack with coffee."
Bengaluru,Filter Coffee,veg,"Strong South Indian filter coffee served in steel tumbler."
Mysuru,Mysore Pak,sweet,"Ghee-rich gram flour sweet; iconic Mysuru dessert."
Mysuru,Masala Dosa,veg,"Crispy dosa with potato palya, local style."
Mysuru,Benne Dosa,veg,"Butter dosa with extra ghee/butter, very rich and crispy."
Mysuru,Mysore Bonda,veg,"Deep-fried snack made with urad dal, soft inside and crispy outside."
Mangaluru,Neer Dosa,veg,"Thin, soft rice crepes served with chutney or curry."
Mangaluru,Mangalorean Fish Curry,nonveg,"Spicy coconut-based fish curry with local spices."
Mangaluru,Kori Rotti,nonveg,"Crispy rice wafers served with spicy chicken curry."
Mangaluru,Chicken Ghee Roast,nonveg,"Fiery red chicken dish cooked in ghee with masala."
Mangaluru,Pundi Gatti,veg,"Steamed rice dumplings eaten with chutney."
Udupi,Udupi Sambar Meals,veg,"Traditional Udupi-style vegetarian thali with rice, sambar, and sides."
Udupi,Masala Dosa,veg,"Famous Udupi-style dosa, lightly spiced and crispy."
Udupi,Goli Baje,veg,"Soft, deep-fried maida fritters, slightly sweet."
Udupi,Neer Dosa,veg,"Soft rice crepes, staple coastal breakfast."
Gokarna,Coastal Seafood Thali,nonveg,"Thali with fish curry, fry, rice, and accompaniments."
Gokarna,Fish Fry,nonveg,"Marinated local fish shallow fried, served as starter or side."
Gokarna,Neer Dosa with Fish Curry,mixed,"Neer dosa paired with spicy coastal fish curry."
Gokarna,Coconut-based Veg Curry,veg,"Mild coconut curries for vegetarian travelers."
Chikkamagaluru,Filter Coffee,veg,"Strong hill-station coffee from local estates."
Chikkamagaluru,Malnad Akki Rotti,veg,"Rice rotti with grated vegetables and spices."
Chikkamagaluru,Malnad Kadubu,veg,"Steamed rice dumplings often served with chutney or curry."
Chikkamagaluru,Coorg Pork Curry,nonveg,"Peppery pork dish popular in nearby Coorg region."
Madikeri,Coorg Pork Curry,nonveg,"Signature Coorg dish with pork and spice blend."
Madikeri,Akki Rotti,veg,"Rice flour flatbreads served with chutneys or curries."
Madikeri,Noolputtu (String Hoppers),veg,"Rice noodles served with veg or chicken curry."
Madikeri,Coorg Coffee,veg,"Aromatic coffee from Coorg plantations."
Hampi,North Karnataka Jolada Rotti Meal,veg,"Millet rotti thali with spicy curries and chutneys."
Hampi,Puliyogare (Tamarind Rice),veg,"Tangy tamarind rice often found in temple towns."
Hampi,Holige/Obbattu,sweet,"Sweet flatbread stuffed with dal-jaggery mixture."
Hampi,Maddur Vada,veg,"Snack available along bus or train routes to Hampi."
Dharmasthala,Temple Prasada Meals,veg,"Simple unlimited vegetarian meals served at the temple."
Dharmasthala,South Indian Thali,veg,"Rice, sambar, rasam, curd, and side dishes."
Dharmasthala,Kesari Bath,sweet,"Semolina sweet often part of temple or tiffin menus."
Kukke,Temple Annadanam Meals,veg,"Free vegetarian meals served to pilgrims at the temple."
Kukke,Idli Sambar,veg,"Common breakfast for pilgrims near temple road."
Kukke,Masala Dosa,veg,"South Indian dosa available in local hotels near temple."
Kukke,Payasam,sweet,"Sweet pudding served on special days and in thalis."
Bengaluru,Rava Idli,veg,"Semolina idli invented in Bengaluru, often served with chutney and sambar."
Bengaluru,Vangi Bath,veg,"Spiced brinjal rice, popular in Karnataka-style home meals."
Bengaluru,Khara Bath,veg,"Savory upma-style breakfast made with semolina and vegetables."
Bengaluru,Kesari Bath,sweet,"Sweet semolina halwa often served with khara bath as chow-chow bath."
Bengaluru,Thatte Idli,veg,"Large plate-shaped idlis, soft and fluffy, common on highways around Bengaluru."
Mysuru,Ragi Mudde with Sambar,veg,"Finger millet balls eaten with sambar or saaru; traditional Karnataka staple."
Mysuru,Khara Pongal,veg,"Rice and lentil dish tempered with ghee, pepper and cashews."
Mysuru,Lemon Rice,veg,"Tangy rice flavoured with lemon, curry leaves and peanuts."
Mysuru,Kesaribath,sweet,"Saffron or kesar-flavoured version of kesari bath."
Mangaluru,Patrode,veg,"Colocasia leaves rolled with spiced rice batter and steamed, then sliced."
Mangaluru,Patholi,sweet,"Coconut-jaggery stuffed rice cakes steamed in turmeric leaves."
Mangaluru,Bangude Pulimunchi,nonveg,"Spicy and tangy mackerel curry from coastal Karnataka."
Mangaluru,Seer Fish Fry,nonveg,"King fish slices marinated with red masala and shallow fried."
Udupi,Thali Meals at Temple,veg,"Simple sattvic meals served near Krishna temple, without onion or garlic."
Udupi,Vada Sambar,veg,"Crispy medu vada soaked in sambar, served hot."
Udupi,Sajjige Bajil,veg,"Combination of upma (sajjige) and spiced poha (bajil), popular breakfast dish."
Udupi,Bonda Soup,veg,"Crispy bonda served in light, flavorful soup."
Gokarna,Banana Pancakes,veg,"Backpacker-friendly sweet pancakes available near beaches."
Gokarna,Thali with Fish Sukka,nonveg,"Local thali featuring dry spiced fish preparation with coconut."
Gokarna,Mango Curry Seasonal,veg,"Tangy raw mango curry served in season with rice."
Chikkamagaluru,Ellu Pajji,veg,"Sesame-based chutney or side dish served with rice or rotti."
Chikkamagaluru,Naati Koli Saaru,nonveg,"Country chicken curry popular in Malnad region."
Chikkamagaluru,Jackfruit Chips,veg,"Crispy chips made from raw jackfruit, common hill-station snack."
Madikeri,Pandi Curry with Kadumbuttu,nonveg,"Coorg pork curry served with steamed rice balls (kadumbuttu)."
Madikeri,Koli Curry (Coorg style),nonveg,"Spicy Coorg-style chicken curry with local masala."
Madikeri,Honey Cake Local Bakery,sweet,"Soft cake soaked in honey syrup, common in Coorg bakeries."
Hampi,Mirchi Bajji,veg,"Green chilli bajjis sold near temple and river ghats."
Hampi,Churumuri,veg,"Puffed rice snack mixed with onion, tomato and masala."
Hampi,Filter Coffee Street Stall,veg,"Strong filter coffee served in small roadside stalls."
Dharmasthala,Curd Rice,veg,"Comforting curd rice often part of temple or hotel meals."
Dharmasthala,Plain Dosa,veg,"Simple dosa served in local lodges around temple area."
Kukke,Vade-Sambar (Tiffin),veg,"Crispy vadas served with sambar as a filling breakfast."
Kukke,Chitranna (Lemon Rice),veg,"Lemon rice given in tiffin centers and small hotels around temple."
Kukke,Curd Rice,veg,"Mild curd rice, common comfort food for pilgrims."
